[ 2013-07-01T21:19:45+08:00 ] /Index/newsform | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002197s ]
[ 2013-07-01T21:19:45+08:00 ] /Index/newsform | INFO: Tag[ view_end ] --START--
[ 2013-07-01T21:19:45+08:00 ] /Index/newsform | INFO: Run ShowPageTrace Behavior [ RunTime:0.000403s ]
[ 2013-07-01T21:19:45+08:00 ] /Index/newsform | INFO: Tag[ view_end ] --END-- [ RunTime:0.000475s ]
[ 2013-07-01T21:19:45+08:00 ] /Public/assets/js/google-code-prettify/prettify.css | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:19:45+08:00 ] /Public/assets/css/bootstro.min.css | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:19:46+08:00 ] /Public/assets/img/bs-docs-masthead-pattern.png | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Tag[ route_check ] --START--
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Run CheckRoute Behavior [ RunTime:0.000944s ]
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Tag[ route_check ] --END-- [ RunTime:0.001040s ]
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Tag[ app_begin ] --START--
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000615s ]
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000685s ]
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Tag[ view_template ] --START--
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Run LocationTemplate Behavior [ RunTime:0.000755s ]
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Tag[ view_template ] --END-- [ RunTime:0.000834s ]
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Tag[ view_parse ] --START--
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Run ParseTemplate Behavior [ RunTime:0.013664s ]
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013756s ]
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Tag[ view_filter ] --START--
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Run ContentReplace Behavior [ RunTime:0.000580s ]
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Run TokenBuild Behavior [ RunTime:0.000668s ]
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000381s ]
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Run ShowRuntime Behavior [ RunTime:0.000601s ]
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002426s ]
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Tag[ view_end ] --START--
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Run ShowPageTrace Behavior [ RunTime:0.000513s ]
[ 2013-07-01T21:21:14+08:00 ] /Index/newsform | INFO: Tag[ view_end ] --END-- [ RunTime:0.000583s ]
[ 2013-07-01T21:21:14+08:00 ] /Public/assets/js/google-code-prettify/prettify.css | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:21:14+08:00 ] /Public/assets/css/bootstro.min.css | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:21:14+08:00 ] /Public/assets/img/bs-docs-masthead-pattern.png | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Tag[ route_check ] --START--
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Run CheckRoute Behavior [ RunTime:0.000786s ]
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Tag[ route_check ] --END-- [ RunTime:0.000901s ]
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Tag[ app_begin ] --START--
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000602s ]
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000684s ]
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Tag[ view_template ] --START--
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Run LocationTemplate Behavior [ RunTime:0.000800s ]
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Tag[ view_template ] --END-- [ RunTime:0.000891s ]
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Tag[ view_parse ] --START--
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Run ParseTemplate Behavior [ RunTime:0.010029s ]
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010121s ]
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Tag[ view_filter ] --START--
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Run ContentReplace Behavior [ RunTime:0.000552s ]
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Run TokenBuild Behavior [ RunTime:0.000701s ]
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000412s ]
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Run ShowRuntime Behavior [ RunTime:0.000669s ]
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002559s ]
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Tag[ view_end ] --START--
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Run ShowPageTrace Behavior [ RunTime:0.000597s ]
[ 2013-07-01T21:21:53+08:00 ] /Index/newsform | INFO: Tag[ view_end ] --END-- [ RunTime:0.000676s ]
[ 2013-07-01T21:21:53+08:00 ] /Public/assets/css/bootstro.min.css | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:21:53+08:00 ] /Public/assets/js/google-code-prettify/prettify.css | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:21:54+08:00 ] /Public/assets/img/bs-docs-masthead-pattern.png | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Tag[ route_check ] --START--
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Run CheckRoute Behavior [ RunTime:0.000786s ]
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Tag[ route_check ] --END-- [ RunTime:0.000891s ]
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Tag[ app_begin ] --START--
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000646s ]
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000734s ]
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Tag[ view_template ] --START--
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Run LocationTemplate Behavior [ RunTime:0.000380s ]
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Tag[ view_template ] --END-- [ RunTime:0.000462s ]
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Tag[ view_parse ] --START--
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Run ParseTemplate Behavior [ RunTime:0.009281s ]
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009373s ]
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Tag[ view_filter ] --START--
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Run ContentReplace Behavior [ RunTime:0.000464s ]
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Run TokenBuild Behavior [ RunTime:0.000516s ]
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000273s ]
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Run ShowRuntime Behavior [ RunTime:0.000544s ]
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002003s ]
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Tag[ view_end ] --START--
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Run ShowPageTrace Behavior [ RunTime:0.000402s ]
[ 2013-07-01T21:22:03+08:00 ] /Index/newsform | INFO: Tag[ view_end ] --END-- [ RunTime:0.000476s ]
[ 2013-07-01T21:22:03+08:00 ] /Public/assets/js/google-code-prettify/prettify.css | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:22:03+08:00 ] /Public/assets/css/bootstro.min.css | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:22:03+08:00 ] /Public/assets/img/bs-docs-masthead-pattern.png | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Tag[ route_check ] --START--
