[ 2013-06-30T11:21:12+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000743s ]
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000833s ]
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000837s ]
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000916s ]
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.007443s ]
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007534s ]
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000502s ]
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000500s ]
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000357s ]
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000562s ]
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002114s ]
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000502s ]
[ 2013-06-30T11:21:12+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000571s ]
